,SummerHDP,SummerLD-TOU,SummerMildHDP,SummerHDPg,FallHDP,FallHDPg,WinterHDP,WinterHDPg,SpringHDP,SpringHDPg,TwoPeakHDP
6333,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
6334,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
6335,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
6336,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
6337,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
6338,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
6339,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
6340,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
6341,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
6342,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
6343,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
6344,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
6345,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
6346,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
6347,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
6348,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
6349,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
6350,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
6351,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
6352,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
6353,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
6354,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
6355,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
6356,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
6357,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
6358,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
6359,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
6360,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
6361,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
6362,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
6363,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
6364,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
6365,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
6366,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
6367,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
6368,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
6369,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
6370,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
6371,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
6372,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
6373,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
6374,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
6375,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
6376,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
6377,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
6378,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
6379,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
6380,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
6381,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
6382,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
6383,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
6384,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
6385,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
6386,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
6387,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
6388,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
6389,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
6390,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
6391,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
6392,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
6393,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
6394,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
6395,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
6396,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
6397,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
6398,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
6399,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
6400,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
6401,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
6402,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
6403,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
6404,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
6405,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
6406,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
6407,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
6408,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
6409,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
6410,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
6411,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
6412,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
6413,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
6414,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
6415,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
6416,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
6417,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
6418,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
6419,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
6420,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
6421,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
6422,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
6423,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
6424,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
6425,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
6426,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
6427,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
6428,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
6429,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
6430,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
6431,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
6432,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
6433,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
6434,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
6435,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
6436,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
6437,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
6438,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
6439,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
6440,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
6441,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
6442,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
6443,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
6444,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
6445,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
6446,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
6447,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
6448,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
6449,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
6450,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
6451,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
6452,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
6453,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
6454,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
6455,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
6456,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
6457,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
6458,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
6459,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
6460,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
6461,0.0215,0.031,0.1554,0.4295,0.1193,0.4379,0.11,0.4085,0.2713,0.4042,0.2713
6462,0.0359,0.031,0.1616,0.4266,0.2737,0.4421,0.2672,0.4314,0.4659,0.4259,0.4659
6463,0.0206,0.031,0.155,0.4215,0.27,0.4476,0.3077,0.4605,0.5328,0.2931,0.5328
6464,0.0106,0.031,0.1506,0.4014,0.0916,0.3075,0.2163,0.3353,0.28,0.2025,0.28
6465,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
6466,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
6467,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
6468,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
6469,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
6470,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
6471,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
6472,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
6473,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
6474,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
6475,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
6476,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
6477,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
6478,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
6479,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
6480,0.0864,0.031,0.1837,0.4201,0.2052,0.42,0.0718,0.4034,0.1714,0.4003,0.1714
6481,0.0587,0.031,0.1716,0.4216,0.1284,0.4229,0.0445,0.4084,0.144,0.4015,0.144
6482,0.0385,0.031,0.1628,0.421,0.0792,0.4254,0.0202,0.4054,0.1385,0.4127,0.1385
6483,0.0246,0.031,0.1567,0.4224,0.0531,0.4302,0.011,0.4067,0.1518,0.4162,0.1518
6484,0.0165,0.031,0.1532,0.4277,0.0551,0.4358,0.0331,0.4014,0.1829,0.4168,0.1829
