,SummerHDP,SummerLD-TOU,SummerMildHDP,SummerHDPg,FallHDP,FallHDPg,WinterHDP,WinterHDPg,SpringHDP,SpringHDPg,TwoPeakHDP
6873,0.0192,0.031,0.1544,0.3848,0.011,0.2062,0.1584,0.3692,0.1158,0.0369,0.1158
6874,0.0309,0.031,0.1595,0.3862,0.0389,0.2362,0.1264,0.454,0.0398,0.022,0.0398
6875,0.0612,0.031,0.1727,0.3994,0.0238,0.2906,0.1047,0.448,0.0196,0.0222,0.0196
6876,0.0925,0.031,0.1864,0.4211,0.0366,0.3834,0.1318,0.3315,0.011,0.0222,0.011
6877,0.1244,0.031,0.2003,0.4017,0.0611,0.3224,0.1835,0.296,0.0188,0.0215,0.0188
6878,0.1667,0.2637,0.2188,0.4372,0.0998,0.3166,0.2485,0.0669,0.0255,0.0212,0.0255
6879,0.2148,0.2637,0.2398,0.4249,0.1888,0.4028,0.3123,0.3313,0.0632,0.0219,0.0632
6880,0.3563,0.6982,0.3016,0.4309,0.3046,0.4318,0.3961,0.4384,0.0957,0.2145,0.0957
6881,0.4893,0.6982,0.3597,0.433,0.5198,0.4383,0.5254,0.4406,0.2358,0.4305,0.2358
6882,0.7098,0.6982,0.4561,0.4439,0.7248,0.4381,0.4974,0.4403,0.4931,0.4242,0.4931
6883,0.7882,0.6982,0.4904,0.4428,0.6936,0.4359,0.4525,0.4303,0.6618,0.4241,0.6618
6884,0.5586,0.6982,0.39,0.4364,0.4961,0.4238,0.3918,0.4116,0.5364,0.421,0.5364
6885,0.3326,0.2637,0.2913,0.4323,0.3569,0.423,0.3113,0.4151,0.4116,0.4171,0.4116
6886,0.2152,0.2637,0.24,0.4271,0.1822,0.422,0.1998,0.4076,0.2905,0.4119,0.2905
6887,0.1487,0.031,0.2109,0.4228,0.0413,0.4223,0.1106,0.4208,0.2209,0.4091,0.2209
